team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2811,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2811,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2811,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,2811,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2811,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,2812,1
Seoul Dynasty,13,12,4,17,39,22,120,-35,2812,2
Chengdu Hunters,12,10,6,13,36,23,118,-59,2812,3
Philadelphia Fusion,10,10,6,13,37,24,125,-17,2812,4
Hangzhou Spark,9,9,7,8,35,27,126,-17,2812,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2812,6
Guangzhou Charge,4,4,12,-22,17,39,141,69,2812,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,2812,8
Shanghai Dragons,23,12,4,21,38,17,124,-20,2813,1
Chengdu Hunters,13,11,5,17,38,21,116,-68,2813,2
Seoul Dynasty,12,12,4,18,38,20,120,-37,2813,3
Philadelphia Fusion,10,10,6,12,35,23,126,-11,2813,4
Hangzhou Spark,8,8,8,4,32,28,128,-9,2813,5
New York Excelsior,7,7,9,-4,28,32,124,-26,2813,6
Guangzhou Charge,4,4,12,-22,17,39,140,66,2813,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2813,8
Shanghai Dragons,21,12,4,21,38,17,124,-21,2814,1
Chengdu Hunters,13,11,5,17,38,21,116,-67,2814,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,2814,3
Philadelphia Fusion,10,10,6,13,36,23,126,-13,2814,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,2814,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2814,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,2814,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2814,8
Shanghai Dragons,20,12,4,21,38,17,123,-23,2815,1
Seoul Dynasty,14,12,4,18,39,21,121,-35,2815,2
Chengdu Hunters,13,11,5,18,38,20,116,-69,2815,3
Philadelphia Fusion,10,10,6,13,36,23,126,-13,2815,4
Hangzhou Spark,7,7,9,1,32,31,131,-1,2815,5
New York Excelsior,7,7,9,-5,27,32,124,-23,2815,6
Guangzhou Charge,5,5,11,-20,18,38,137,59,2815,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2815,8
Shanghai Dragons,22,12,4,21,38,17,124,-20,2816,1
Seoul Dynasty,15,12,4,17,38,21,120,-36,2816,2
Chengdu Hunters,13,11,5,16,38,22,116,-65,2816,3
Philadelphia Fusion,10,10,6,11,36,25,126,-9,2816,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,2816,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2816,6
Guangzhou Charge,4,4,12,-23,18,41,140,68,2816,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,2816,8
Shanghai Dragons,23,12,4,21,38,17,124,-21,2817,1
Seoul Dynasty,14,12,4,17,39,22,120,-36,2817,2
Chengdu Hunters,13,11,5,18,38,20,116,-69,2817,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2817,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2817,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2817,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,2817,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2817,8
Shanghai Dragons,20,12,4,21,38,17,125,-15,2818,1
Seoul Dynasty,12,12,4,18,39,21,120,-39,2818,2
Chengdu Hunters,12,10,6,13,36,23,118,-61,2818,3
Philadelphia Fusion,10,10,6,11,36,25,125,-11,2818,4
Hangzhou Spark,10,9,7,9,35,26,126,-21,2818,5
New York Excelsior,7,7,9,-2,30,32,124,-31,2818,6
Guangzhou Charge,4,4,12,-24,15,39,141,75,2818,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,2818,8
Shanghai Dragons,22,12,4,21,38,17,123,-24,2819,1
Chengdu Hunters,13,11,5,17,38,21,117,-66,2819,2
Seoul Dynasty,11,11,5,15,38,23,122,-32,2819,3
Philadelphia Fusion,11,11,5,14,38,24,124,-12,2819,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,2819,5
New York Excelsior,7,7,9,-1,31,32,125,-30,2819,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,2819,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2819,8
Shanghai Dragons,20,12,4,20,38,18,123,-22,2820,1
Chengdu Hunters,15,11,5,15,38,23,116,-62,2820,2
Seoul Dynasty,12,12,4,18,39,21,121,-33,2820,3
Philadelphia Fusion,10,10,6,13,36,23,126,-15,2820,4
Hangzhou Spark,7,7,9,0,31,31,131,3,2820,5
New York Excelsior,7,7,9,-4,28,32,124,-24,2820,6
Guangzhou Charge,5,5,11,-17,21,38,137,52,2820,7
Los Angeles Valiant,0,0,16,-45,3,48,146,101,2820,8
Shanghai Dragons,20,12,4,20,38,18,124,-20,2821,1
Seoul Dynasty,13,12,4,17,39,22,120,-35,2821,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,2821,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,2821,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,2821,5
New York Excelsior,7,7,9,-2,30,32,124,-30,2821,6
Guangzhou Charge,4,4,12,-21,18,39,140,62,2821,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2821,8
Shanghai Dragons,23,12,4,20,38,18,123,-20,2822,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,2822,2
Seoul Dynasty,12,12,4,19,39,20,121,-38,2822,3
Philadelphia Fusion,10,10,6,11,35,24,126,-9,2822,4
Hangzhou Spark,7,7,9,1,32,31,131,-2,2822,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2822,6
Guangzhou Charge,5,5,11,-20,19,39,137,60,2822,7
Los Angeles Valiant,0,0,16,-44,4,48,146,101,2822,8
Shanghai Dragons,23,12,4,20,38,18,124,-17,2823,1
Chengdu Hunters,13,11,5,15,38,23,116,-62,2823,2
Seoul Dynasty,12,12,4,18,40,22,120,-38,2823,3
Philadelphia Fusion,10,10,6,13,37,24,126,-15,2823,4
Hangzhou Spark,8,8,8,5,34,29,128,-12,2823,5
New York Excelsior,7,7,9,-4,28,32,124,-24,2823,6
Guangzhou Charge,4,4,12,-22,18,40,140,67,2823,7
Los Angeles Valiant,0,0,16,-45,3,48,146,101,2823,8
Shanghai Dragons,20,12,4,20,38,18,125,-12,2824,1
Seoul Dynasty,12,12,4,18,40,22,120,-40,2824,2
Chengdu Hunters,12,10,6,10,35,25,118,-51,2824,3
Philadelphia Fusion,10,10,6,13,37,24,125,-19,2824,4
Hangzhou Spark,10,9,7,10,35,25,126,-24,2824,5
New York Excelsior,7,7,9,-3,29,32,124,-25,2824,6
Guangzhou Charge,4,4,12,-24,16,40,141,76,2824,7
Los Angeles Valiant,0,0,16,-44,4,48,145,95,2824,8
Shanghai Dragons,20,12,4,21,38,17,123,-25,2825,1
Chengdu Hunters,16,11,5,16,38,22,115,-69,2825,2
Seoul Dynasty,13,12,4,17,39,22,121,-31,2825,3
Philadelphia Fusion,9,9,7,9,35,26,129,-1,2825,4
New York Excelsior,8,8,8,1,31,30,121,-39,2825,5
Hangzhou Spark,7,7,9,0,31,31,131,3,2825,6
Guangzhou Charge,5,5,11,-18,19,37,137,53,2825,7
Los Angeles Valiant,0,0,16,-46,2,48,147,109,2825,8
Shanghai Dragons,23,12,4,22,38,16,123,-25,2826,1
Chengdu Hunters,13,11,5,17,38,21,118,-60,2826,2
Philadelphia Fusion,11,11,5,15,38,23,124,-17,2826,3
Seoul Dynasty,11,11,5,14,37,23,121,-34,2826,4
Hangzhou Spark,8,8,8,5,34,29,127,-16,2826,5
New York Excelsior,7,7,9,-4,28,32,126,-18,2826,6
Guangzhou Charge,3,3,13,-28,14,42,141,75,2826,7
Los Angeles Valiant,1,1,15,-41,5,46,144,95,2826,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,2827,1
Seoul Dynasty,13,12,4,17,39,22,120,-36,2827,2
Chengdu Hunters,13,11,5,16,38,22,116,-66,2827,3
Philadelphia Fusion,10,10,6,12,37,25,126,-9,2827,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2827,5
New York Excelsior,7,7,9,-1,31,32,124,-32,2827,6
Guangzhou Charge,4,4,12,-23,16,39,140,67,2827,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2827,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,2828,1
Chengdu Hunters,14,10,6,11,36,25,117,-60,2828,2
Seoul Dynasty,12,12,4,17,38,21,120,-34,2828,3
Philadelphia Fusion,9,9,7,8,34,26,129,0,2828,4
New York Excelsior,9,9,7,5,33,28,119,-48,2828,5
Hangzhou Spark,8,8,8,5,34,29,128,-10,2828,6
Guangzhou Charge,4,4,12,-21,18,39,140,64,2828,7
Los Angeles Valiant,0,0,16,-46,2,48,147,108,2828,8
Shanghai Dragons,20,12,4,21,38,17,124,-20,2829,1
Chengdu Hunters,15,11,5,15,38,23,116,-63,2829,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,2829,3
Philadelphia Fusion,10,10,6,12,37,25,126,-10,2829,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,2829,5
New York Excelsior,7,7,9,-1,31,32,124,-31,2829,6
Guangzhou Charge,4,4,12,-24,16,40,140,70,2829,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2829,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,2830,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,2830,2
Seoul Dynasty,12,12,4,18,39,21,120,-38,2830,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,2830,4
Hangzhou Spark,8,8,8,5,33,28,128,-12,2830,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2830,6
Guangzhou Charge,4,4,12,-23,16,39,140,69,2830,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2830,8
Shanghai Dragons,22,12,4,21,38,17,123,-22,2831,1
Chengdu Hunters,13,11,5,16,38,22,116,-63,2831,2
Seoul Dynasty,12,12,4,18,39,21,121,-36,2831,3
Philadelphia Fusion,10,10,6,13,36,23,126,-15,2831,4
Hangzhou Spark,7,7,9,2,33,31,131,-4,2831,5
New York Excelsior,7,7,9,-5,27,32,124,-21,2831,6
Guangzhou Charge,5,5,11,-21,19,40,137,62,2831,7
Los Angeles Valiant,0,0,16,-44,4,48,146,99,2831,8
Shanghai Dragons,22,12,4,20,38,18,124,-18,2832,1
Chengdu Hunters,13,11,5,16,38,22,116,-63,2832,2
Seoul Dynasty,12,12,4,17,39,22,120,-37,2832,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2832,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,2832,5
New York Excelsior,7,7,9,-4,28,32,124,-23,2832,6
Guangzhou Charge,4,4,12,-23,17,40,140,68,2832,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2832,8
Shanghai Dragons,22,12,4,19,38,19,123,-19,2833,1
Chengdu Hunters,12,10,6,14,36,22,119,-55,2833,2
Philadelphia Fusion,11,11,5,18,38,20,123,-27,2833,3
Seoul Dynasty,11,11,5,14,37,23,123,-29,2833,4
Hangzhou Spark,8,8,8,5,34,29,129,-11,2833,5
New York Excelsior,7,7,9,-5,27,32,125,-17,2833,6
Guangzhou Charge,5,5,11,-20,19,39,137,59,2833,7
Los Angeles Valiant,0,0,16,-45,3,48,145,99,2833,8
Shanghai Dragons,20,12,4,22,38,16,123,-27,2834,1
Seoul Dynasty,13,12,4,17,38,21,122,-27,2834,2
Chengdu Hunters,12,10,6,13,37,24,118,-60,2834,3
Philadelphia Fusion,10,10,6,12,36,24,125,-14,2834,4
Hangzhou Spark,7,7,9,0,31,31,132,7,2834,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2834,6
Guangzhou Charge,6,6,10,-15,21,36,135,47,2834,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,2834,8
Shanghai Dragons,21,12,4,22,38,16,124,-23,2835,1
Seoul Dynasty,14,12,4,16,38,22,120,-32,2835,2
Chengdu Hunters,13,11,5,15,38,23,116,-63,2835,3
Philadelphia Fusion,10,10,6,13,37,24,126,-14,2835,4
Hangzhou Spark,8,8,8,5,34,29,128,-10,2835,5
New York Excelsior,7,7,9,-3,29,32,124,-27,2835,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,2835,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2835,8
Shanghai Dragons,22,12,4,22,38,16,124,-24,2836,1
Seoul Dynasty,13,12,4,17,38,21,120,-34,2836,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,2836,3
Philadelphia Fusion,10,10,6,12,36,24,126,-10,2836,4
Hangzhou Spark,8,8,8,3,33,30,128,-6,2836,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2836,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,2836,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2836,8
Shanghai Dragons,23,12,4,21,38,17,122,-26,2837,1
Chengdu Hunters,13,11,5,16,38,22,117,-60,2837,2
Seoul Dynasty,12,11,5,14,37,23,123,-28,2837,3
Philadelphia Fusion,11,11,5,17,38,21,124,-22,2837,4
Hangzhou Spark,7,7,9,2,33,31,131,-4,2837,5
New York Excelsior,7,7,9,-4,28,32,125,-20,2837,6
Guangzhou Charge,5,5,11,-21,18,39,136,58,2837,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2837,8
Shanghai Dragons,23,12,4,20,38,18,123,-18,2838,1
Chengdu Hunters,13,11,5,16,38,22,117,-63,2838,2
Seoul Dynasty,11,11,5,16,39,23,122,-35,2838,3
Philadelphia Fusion,11,11,5,15,38,23,124,-18,2838,4
Hangzhou Spark,8,8,8,6,34,28,128,-15,2838,5
New York Excelsior,7,7,9,-4,28,32,125,-23,2838,6
Guangzhou Charge,4,4,12,-23,16,39,139,68,2838,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2838,8
Shanghai Dragons,23,12,4,21,38,17,124,-21,2839,1
Seoul Dynasty,14,12,4,16,38,22,121,-30,2839,2
Chengdu Hunters,12,10,6,14,37,23,118,-61,2839,3
Philadelphia Fusion,10,10,6,13,37,24,125,-16,2839,4
Hangzhou Spark,8,8,8,5,33,28,129,-8,2839,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2839,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,2839,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,2839,8
Shanghai Dragons,22,12,4,21,38,17,123,-25,2840,1
Chengdu Hunters,13,11,5,17,38,21,117,-65,2840,2
Philadelphia Fusion,11,11,5,15,38,23,124,-15,2840,3
Seoul Dynasty,11,11,5,14,37,23,122,-29,2840,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,2840,5
New York Excelsior,7,7,9,-2,30,32,125,-27,2840,6
Guangzhou Charge,4,4,12,-22,17,39,139,61,2840,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2840,8
Shanghai Dragons,22,12,4,22,38,16,124,-25,2841,1
Seoul Dynasty,13,12,4,16,38,22,121,-30,2841,2
Chengdu Hunters,12,10,6,14,37,23,117,-64,2841,3
Philadelphia Fusion,9,9,7,9,35,26,128,-3,2841,4
Hangzhou Spark,8,8,8,3,32,29,129,-4,2841,5
New York Excelsior,8,8,8,1,31,30,121,-38,2841,6
Guangzhou Charge,5,5,11,-20,19,39,138,59,2841,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,2841,8
Shanghai Dragons,23,12,4,20,38,18,123,-20,2842,1
Chengdu Hunters,13,11,5,16,38,22,116,-63,2842,2
Seoul Dynasty,12,12,4,18,40,22,121,-37,2842,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2842,4
Hangzhou Spark,7,7,9,2,33,31,131,-5,2842,5
New York Excelsior,7,7,9,-4,28,32,124,-23,2842,6
Guangzhou Charge,5,5,11,-21,18,39,137,62,2842,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2842,8
Shanghai Dragons,23,12,4,20,38,18,124,-19,2843,1
Chengdu Hunters,13,11,5,18,38,20,116,-71,2843,2
Seoul Dynasty,12,12,4,19,39,20,120,-38,2843,3
Philadelphia Fusion,10,10,6,11,35,24,126,-8,2843,4
Hangzhou Spark,8,8,8,2,32,30,128,-4,2843,5
New York Excelsior,7,7,9,-4,28,32,124,-27,2843,6
Guangzhou Charge,4,4,12,-20,19,39,140,61,2843,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2843,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,2844,1
Chengdu Hunters,15,11,5,16,38,22,116,-64,2844,2
Seoul Dynasty,12,12,4,17,39,22,120,-35,2844,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2844,4
Hangzhou Spark,8,8,8,4,33,29,128,-9,2844,5
New York Excelsior,7,7,9,-4,28,32,124,-24,2844,6
Guangzhou Charge,4,4,12,-22,17,39,140,65,2844,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2844,8
Shanghai Dragons,20,12,4,21,38,17,124,-23,2845,1
Chengdu Hunters,15,10,6,13,37,24,118,-58,2845,2
Seoul Dynasty,14,12,4,16,38,22,121,-31,2845,3
Philadelphia Fusion,10,10,6,12,37,25,125,-12,2845,4
Hangzhou Spark,8,8,8,3,33,30,129,-5,2845,5
New York Excelsior,7,7,9,-1,31,32,124,-30,2845,6
Guangzhou Charge,5,5,11,-20,19,39,138,59,2845,7
Los Angeles Valiant,0,0,16,-44,4,48,145,100,2845,8
Shanghai Dragons,20,12,4,21,38,17,125,-17,2846,1
Seoul Dynasty,13,12,4,18,39,21,120,-38,2846,2
Chengdu Hunters,12,10,6,13,37,24,117,-63,2846,3
Philadelphia Fusion,9,9,7,8,34,26,128,-2,2846,4
Hangzhou Spark,9,9,7,7,35,28,126,-16,2846,5
New York Excelsior,8,8,8,1,31,30,121,-39,2846,6
Guangzhou Charge,4,4,12,-23,17,40,141,71,2846,7
Los Angeles Valiant,0,0,16,-45,3,48,146,104,2846,8
Shanghai Dragons,20,12,4,21,38,17,125,-16,2847,1
Chengdu Hunters,13,9,7,9,35,26,121,-49,2847,2
Seoul Dynasty,12,12,4,18,39,21,119,-42,2847,3
Philadelphia Fusion,10,10,6,11,36,25,125,-11,2847,4
Hangzhou Spark,9,9,7,8,35,27,125,-22,2847,5
New York Excelsior,8,8,8,2,32,30,123,-35,2847,6
Guangzhou Charge,3,3,13,-27,15,42,143,80,2847,7
Los Angeles Valiant,1,1,15,-42,5,47,143,95,2847,8
Shanghai Dragons,22,12,4,22,38,16,123,-25,2848,1
Chengdu Hunters,13,11,5,16,38,22,117,-61,2848,2
Seoul Dynasty,12,12,4,17,38,21,120,-36,2848,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,2848,4
Hangzhou Spark,7,7,9,2,33,31,130,-6,2848,5
New York Excelsior,7,7,9,-4,28,32,125,-21,2848,6
Guangzhou Charge,4,4,12,-24,17,41,139,67,2848,7
Los Angeles Valiant,1,1,15,-42,5,47,144,96,2848,8
Shanghai Dragons,22,12,4,22,38,16,125,-21,2849,1
Seoul Dynasty,12,12,4,16,38,22,120,-33,2849,2
Chengdu Hunters,11,9,7,9,34,25,120,-52,2849,3
Philadelphia Fusion,10,10,6,12,37,25,125,-12,2849,4
Hangzhou Spark,9,9,7,7,35,28,126,-15,2849,5
New York Excelsior,8,8,8,3,32,29,122,-40,2849,6
Guangzhou Charge,4,4,12,-23,16,39,141,69,2849,7
Los Angeles Valiant,0,0,16,-46,2,48,145,104,2849,8
Shanghai Dragons,23,12,4,21,38,17,123,-23,2850,1
Seoul Dynasty,13,12,4,19,39,20,121,-38,2850,2
Chengdu Hunters,13,11,5,19,38,19,116,-72,2850,3
Philadelphia Fusion,10,10,6,11,35,24,126,-7,2850,4
Hangzhou Spark,7,7,9,0,31,31,131,0,2850,5
New York Excelsior,7,7,9,-4,28,32,124,-26,2850,6
Guangzhou Charge,5,5,11,-21,18,39,137,61,2850,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,2850,8
Shanghai Dragons,23,12,4,22,38,16,123,-29,2851,1
Chengdu Hunters,13,11,5,19,38,19,116,-72,2851,2
Seoul Dynasty,12,12,4,16,38,22,121,-29,2851,3
Philadelphia Fusion,10,10,6,12,37,25,126,-8,2851,4
Hangzhou Spark,7,7,9,-1,30,31,131,5,2851,5
New York Excelsior,7,7,9,-3,29,32,124,-28,2851,6
Guangzhou Charge,5,5,11,-19,18,37,137,53,2851,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2851,8
Shanghai Dragons,23,12,4,22,38,16,124,-25,2852,1
Chengdu Hunters,13,11,5,16,38,22,116,-63,2852,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,2852,3
Philadelphia Fusion,10,10,6,13,37,24,126,-12,2852,4
Hangzhou Spark,8,8,8,3,32,29,128,-8,2852,5
New York Excelsior,7,7,9,-2,30,32,124,-27,2852,6
Guangzhou Charge,4,4,12,-24,17,41,140,67,2852,7
Los Angeles Valiant,0,0,16,-44,4,48,146,102,2852,8
Shanghai Dragons,20,12,4,21,38,17,123,-24,2853,1
Chengdu Hunters,15,10,6,14,37,23,119,-57,2853,2
Philadelphia Fusion,11,11,5,17,38,21,124,-21,2853,3
Seoul Dynasty,11,11,5,14,37,23,122,-30,2853,4
Hangzhou Spark,8,8,8,4,33,29,128,-10,2853,5
New York Excelsior,8,8,8,-1,30,31,123,-27,2853,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,2853,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2853,8
Shanghai Dragons,23,12,4,22,38,16,123,-29,2854,1
Chengdu Hunters,15,11,5,18,38,20,117,-66,2854,2
Philadelphia Fusion,11,11,5,16,38,22,124,-17,2854,3
Seoul Dynasty,11,11,5,12,35,23,122,-24,2854,4
Hangzhou Spark,8,8,8,3,33,30,128,-6,2854,5
New York Excelsior,7,7,9,-3,29,32,125,-24,2854,6
Guangzhou Charge,4,4,12,-22,17,39,139,59,2854,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,2854,8
Shanghai Dragons,19,11,5,17,37,20,127,-11,2855,1
Chengdu Hunters,15,11,5,19,38,19,115,-74,2855,2
Seoul Dynasty,13,13,3,20,41,21,117,-45,2855,3
Philadelphia Fusion,9,9,7,10,36,26,129,-2,2855,4
Hangzhou Spark,8,8,8,3,32,29,127,-11,2855,5
New York Excelsior,8,8,8,-1,30,31,121,-34,2855,6
Guangzhou Charge,4,4,12,-22,17,39,141,67,2855,7
Los Angeles Valiant,0,0,16,-46,2,48,147,110,2855,8
Shanghai Dragons,23,12,4,21,38,17,124,-21,2856,1
Seoul Dynasty,13,12,4,17,39,22,119,-42,2856,2
Chengdu Hunters,13,11,5,17,38,21,117,-59,2856,3
Philadelphia Fusion,10,10,6,14,37,23,126,-16,2856,4
Hangzhou Spark,8,8,8,4,33,29,127,-16,2856,5
New York Excelsior,7,7,9,-5,27,32,125,-15,2856,6
Guangzhou Charge,3,3,13,-29,13,42,142,79,2856,7
Los Angeles Valiant,1,1,15,-39,6,45,144,90,2856,8
Shanghai Dragons,23,12,4,22,38,16,123,-26,2857,1
Chengdu Hunters,13,11,5,17,38,21,117,-64,2857,2
Philadelphia Fusion,11,11,5,16,38,22,124,-19,2857,3
Seoul Dynasty,11,11,5,13,36,23,122,-27,2857,4
Hangzhou Spark,8,8,8,5,33,28,128,-11,2857,5
New York Excelsior,7,7,9,-4,28,32,125,-22,2857,6
Guangzhou Charge,4,4,12,-23,16,39,139,64,2857,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2857,8
Shanghai Dragons,20,12,4,20,38,18,124,-19,2858,1
Seoul Dynasty,15,12,4,18,39,21,120,-36,2858,2
Chengdu Hunters,14,10,6,12,36,24,118,-59,2858,3
Philadelphia Fusion,10,10,6,11,36,25,126,-8,2858,4
Hangzhou Spark,8,8,8,3,33,30,128,-6,2858,5
New York Excelsior,8,8,8,2,32,30,122,-39,2858,6
Guangzhou Charge,4,4,12,-20,19,39,140,61,2858,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,2858,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,2859,1
Chengdu Hunters,13,11,5,16,38,22,116,-64,2859,2
Seoul Dynasty,13,11,5,15,38,23,122,-34,2859,3
Philadelphia Fusion,11,10,6,12,36,24,127,-7,2859,4
Hangzhou Spark,8,8,8,4,33,29,128,-12,2859,5
New York Excelsior,8,8,8,1,31,30,122,-34,2859,6
Guangzhou Charge,4,4,12,-24,17,41,139,67,2859,7
Los Angeles Valiant,0,0,16,-44,4,48,147,105,2859,8
Shanghai Dragons,22,12,4,20,38,18,124,-16,2860,1
Chengdu Hunters,13,11,5,16,38,22,116,-65,2860,2
Seoul Dynasty,12,12,4,19,40,21,120,-41,2860,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,2860,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,2860,5
New York Excelsior,7,7,9,-4,28,32,124,-25,2860,6
Guangzhou Charge,4,4,12,-23,16,39,140,70,2860,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,2860,8
Shanghai Dragons,19,11,5,17,37,20,125,-18,2861,1
Seoul Dynasty,13,12,4,17,39,22,120,-35,2861,2
Chengdu Hunters,13,11,5,18,38,20,117,-67,2861,3
Philadelphia Fusion,11,11,5,15,38,23,124,-14,2861,4
Hangzhou Spark,7,7,9,-1,30,31,130,1,2861,5
New York Excelsior,7,7,9,-2,30,32,125,-27,2861,6
Guangzhou Charge,5,5,11,-18,19,37,137,52,2861,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2861,8
Shanghai Dragons,23,12,4,22,38,16,124,-23,2862,1
Chengdu Hunters,13,11,5,14,38,24,116,-62,2862,2
Seoul Dynasty,12,12,4,17,38,21,120,-33,2862,3
Philadelphia Fusion,10,10,6,11,36,25,126,-10,2862,4
Hangzhou Spark,8,8,8,4,33,29,128,-7,2862,5
New York Excelsior,7,7,9,-2,30,32,124,-30,2862,6
Guangzhou Charge,4,4,12,-21,18,39,140,63,2862,7
Los Angeles Valiant,0,0,16,-45,3,48,146,102,2862,8
Shanghai Dragons,20,12,4,22,38,16,124,-23,2863,1
Chengdu Hunters,15,11,5,16,38,22,116,-67,2863,2
Seoul Dynasty,12,12,4,17,38,21,120,-33,2863,3
Philadelphia Fusion,10,10,6,11,36,25,126,-9,2863,4
Hangzhou Spark,8,8,8,4,34,30,128,-7,2863,5
New York Excelsior,7,7,9,-3,29,32,124,-29,2863,6
Guangzhou Charge,4,4,12,-21,18,39,140,63,2863,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,2863,8
Shanghai Dragons,21,12,4,22,38,16,124,-24,2864,1
Chengdu Hunters,13,11,5,19,38,19,116,-73,2864,2
Seoul Dynasty,12,12,4,17,38,21,120,-35,2864,3
Philadelphia Fusion,10,10,6,11,36,25,126,-6,2864,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,2864,5
New York Excelsior,7,7,9,-3,29,32,124,-29,2864,6
Guangzhou Charge,4,4,12,-23,16,39,140,66,2864,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,2864,8
Shanghai Dragons,23,12,4,20,38,18,123,-21,2865,1
Chengdu Hunters,13,11,5,17,38,21,117,-63,2865,2
Seoul Dynasty,13,11,5,15,38,23,122,-33,2865,3
Philadelphia Fusion,11,11,5,17,38,21,124,-21,2865,4
Hangzhou Spark,8,8,8,4,32,28,128,-11,2865,5
