team,league_points,wins,losses,map_differential,maps_won,maps_lost,opponent_points,opponent_differential,sim_number,rank
New York Excelsior,7,7,9,-3,29,32,124,-28,12,6
Guangzhou Charge,4,4,12,-23,16,39,141,72,12,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,12,8
Shanghai Dragons,22,12,4,21,38,17,124,-19,13,1
Seoul Dynasty,12,12,4,19,39,20,121,-36,13,2
Chengdu Hunters,12,10,6,14,36,22,117,-66,13,3
Philadelphia Fusion,9,9,7,8,34,26,128,-3,13,4
Hangzhou Spark,8,8,8,4,32,28,129,-6,13,5
New York Excelsior,8,8,8,-1,30,31,121,-36,13,6
Guangzhou Charge,5,5,11,-19,18,37,138,61,13,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,13,8
Shanghai Dragons,20,12,4,19,38,19,125,-11,14,1
Chengdu Hunters,13,10,6,12,35,23,118,-55,14,2
Seoul Dynasty,12,12,4,18,40,22,120,-41,14,3
Philadelphia Fusion,10,10,6,13,37,24,125,-17,14,4
Hangzhou Spark,9,9,7,9,35,26,126,-23,14,5
New York Excelsior,7,7,9,-3,29,32,124,-25,14,6
Guangzhou Charge,4,4,12,-24,17,41,141,75,14,7
Los Angeles Valiant,0,0,16,-44,4,48,145,97,14,8
Shanghai Dragons,19,11,5,17,37,20,127,-9,15,1
Seoul Dynasty,14,13,3,22,41,19,117,-48,15,2
Chengdu Hunters,13,11,5,17,38,21,116,-68,15,3
Philadelphia Fusion,10,10,6,12,35,23,126,-11,15,4
Hangzhou Spark,8,8,8,3,33,30,127,-10,15,5
New York Excelsior,7,7,9,-4,28,32,124,-26,15,6
Guangzhou Charge,4,4,12,-21,18,39,141,67,15,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,15,8
Shanghai Dragons,23,12,4,21,38,17,123,-25,16,1
Chengdu Hunters,12,10,6,13,36,23,119,-56,16,2
Philadelphia Fusion,11,11,5,16,38,22,124,-18,16,3
Seoul Dynasty,11,11,5,14,37,23,122,-29,16,4
Hangzhou Spark,8,8,8,3,33,30,128,-7,16,5
New York Excelsior,8,8,8,1,31,30,123,-32,16,6
Guangzhou Charge,4,4,12,-22,17,39,139,61,16,7
Los Angeles Valiant,0,0,16,-46,2,48,146,106,16,8
Shanghai Dragons,23,12,4,21,38,17,124,-21,17,1
Seoul Dynasty,14,12,4,16,38,22,120,-32,17,2
Chengdu Hunters,13,11,5,14,38,24,116,-60,17,3
Philadelphia Fusion,10,10,6,14,37,23,126,-17,17,4
Hangzhou Spark,8,8,8,5,34,29,128,-10,17,5
New York Excelsior,7,7,9,-3,29,32,124,-26,17,6
Guangzhou Charge,4,4,12,-21,18,39,140,63,17,7
Los Angeles Valiant,0,0,16,-46,2,48,146,103,17,8
Shanghai Dragons,23,12,4,21,38,17,124,-22,18,1
Chengdu Hunters,13,11,5,18,38,20,116,-71,18,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,18,3
Philadelphia Fusion,10,10,6,11,36,25,126,-6,18,4
Hangzhou Spark,8,8,8,2,32,30,128,-5,18,5
New York Excelsior,7,7,9,-2,30,32,124,-31,18,6
Guangzhou Charge,4,4,12,-22,17,39,140,64,18,7
Los Angeles Valiant,0,0,16,-46,2,48,146,108,18,8
Shanghai Dragons,23,12,4,22,38,16,125,-20,19,1
Chengdu Hunters,14,10,6,12,37,25,118,-55,19,2
Seoul Dynasty,12,12,4,16,38,22,120,-34,19,3
Philadelphia Fusion,10,10,6,13,37,24,125,-17,19,4
Hangzhou Spark,9,9,7,8,35,27,126,-18,19,5
New York Excelsior,7,7,9,-3,29,32,124,-25,19,6
Guangzhou Charge,4,4,12,-24,15,39,141,72,19,7
Los Angeles Valiant,0,0,16,-44,4,48,145,97,19,8
Shanghai Dragons,22,12,4,22,38,16,125,-18,20,1
Seoul Dynasty,12,12,4,17,38,21,119,-38,20,2
Chengdu Hunters,11,9,7,6,32,26,120,-46,20,3
Hangzhou Spark,10,9,7,9,35,26,125,-22,20,4
Philadelphia Fusion,9,9,7,8,34,26,128,-4,20,5
New York Excelsior,9,9,7,6,33,27,120,-46,20,6
Guangzhou Charge,3,3,13,-26,16,42,143,78,20,7
Los Angeles Valiant,1,1,15,-42,5,47,144,96,20,8
Shanghai Dragons,20,12,4,20,38,18,124,-18,21,1
Seoul Dynasty,14,12,4,19,40,21,120,-41,21,2
Chengdu Hunters,13,11,5,17,38,21,115,-72,21,3
Philadelphia Fusion,9,9,7,8,34,26,129,3,21,4
Hangzhou Spark,8,8,8,3,32,29,128,-9,21,5
New York Excelsior,8,8,8,2,32,30,121,-42,21,6
Guangzhou Charge,4,4,12,-23,16,39,140,68,21,7
Los Angeles Valiant,0,0,16,-46,2,48,147,111,21,8
Shanghai Dragons,23,12,4,22,38,16,124,-24,22,1
Seoul Dynasty,13,12,4,17,38,21,120,-35,22,2
Chengdu Hunters,13,11,5,18,38,20,116,-70,22,3
Philadelphia Fusion,10,10,6,12,36,24,126,-9,22,4
Hangzhou Spark,8,8,8,3,32,29,128,-7,22,5
New York Excelsior,7,7,9,-3,29,32,124,-28,22,6
Guangzhou Charge,4,4,12,-23,16,39,140,66,22,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,22,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,23,1
Seoul Dynasty,14,12,4,20,40,20,121,-41,23,2
Chengdu Hunters,13,11,5,17,38,21,115,-71,23,3
Philadelphia Fusion,9,9,7,7,33,26,129,5,23,4
New York Excelsior,8,8,8,2,32,30,121,-41,23,5
Hangzhou Spark,7,7,9,-1,30,31,131,1,23,6
Guangzhou Charge,5,5,11,-21,18,39,137,61,23,7
Los Angeles Valiant,0,0,16,-44,4,48,147,107,23,8
Shanghai Dragons,22,12,4,22,38,16,124,-23,24,1
Chengdu Hunters,13,11,5,15,38,23,116,-61,24,2
Seoul Dynasty,12,12,4,17,38,21,120,-36,24,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,24,4
Hangzhou Spark,8,8,8,4,34,30,128,-10,24,5
New York Excelsior,7,7,9,-3,29,32,124,-25,24,6
Guangzhou Charge,4,4,12,-24,17,41,140,69,24,7
Los Angeles Valiant,0,0,16,-44,4,48,146,100,24,8
Shanghai Dragons,22,12,4,21,38,17,125,-18,25,1
Seoul Dynasty,12,12,4,17,39,22,120,-36,25,2
Chengdu Hunters,12,10,6,14,37,23,118,-60,25,3
Philadelphia Fusion,10,10,6,14,37,23,125,-18,25,4
Hangzhou Spark,9,9,7,7,35,28,126,-16,25,5
New York Excelsior,7,7,9,-4,28,32,124,-24,25,6
Guangzhou Charge,4,4,12,-23,16,39,141,70,25,7
Los Angeles Valiant,0,0,16,-46,2,48,145,102,25,8
Shanghai Dragons,20,12,4,21,38,17,124,-21,26,1
Seoul Dynasty,14,12,4,17,39,22,121,-32,26,2
Chengdu Hunters,11,9,7,9,35,26,120,-50,26,3
Philadelphia Fusion,10,10,6,14,37,23,125,-19,26,4
Hangzhou Spark,8,8,8,4,33,29,129,-6,26,5
New York Excelsior,8,8,8,0,30,30,122,-32,26,6
Guangzhou Charge,5,5,11,-19,19,38,138,59,26,7
Los Angeles Valiant,0,0,16,-46,2,48,145,101,26,8
Shanghai Dragons,20,12,4,20,38,18,123,-21,27,1
Chengdu Hunters,16,11,5,17,38,21,117,-64,27,2
Philadelphia Fusion,11,11,5,16,38,22,124,-17,27,3
Seoul Dynasty,11,11,5,15,38,23,122,-34,27,4
Hangzhou Spark,8,8,8,4,32,28,128,-12,27,5
New York Excelsior,7,7,9,-2,30,32,125,-26,27,6
Guangzhou Charge,4,4,12,-24,15,39,139,67,27,7
Los Angeles Valiant,0,0,16,-46,2,48,146,107,27,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,28,1
Chengdu Hunters,13,11,5,16,38,22,116,-67,28,2
Seoul Dynasty,12,12,4,18,39,21,120,-37,28,3
Philadelphia Fusion,10,10,6,11,36,25,126,-9,28,4
Hangzhou Spark,8,8,8,5,34,29,128,-11,28,5
New York Excelsior,7,7,9,-3,29,32,124,-29,28,6
Guangzhou Charge,4,4,12,-22,17,39,140,67,28,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,28,8
Shanghai Dragons,23,12,4,21,38,17,123,-21,29,1
Chengdu Hunters,14,11,5,14,38,24,117,-58,29,2
Seoul Dynasty,11,11,5,15,38,23,122,-33,29,3
Philadelphia Fusion,11,11,5,14,38,24,124,-16,29,4
Hangzhou Spark,8,8,8,6,34,28,128,-15,29,5
New York Excelsior,7,7,9,-2,30,32,125,-26,29,6
Guangzhou Charge,4,4,12,-24,16,40,139,69,29,7
Los Angeles Valiant,0,0,16,-44,4,48,146,100,29,8
Shanghai Dragons,23,12,4,22,38,16,122,-29,30,1
Chengdu Hunters,13,11,5,15,38,23,116,-64,30,2
Seoul Dynasty,11,11,5,13,36,23,123,-24,30,3
Philadelphia Fusion,10,10,6,11,35,24,127,-5,30,4
New York Excelsior,8,8,8,2,31,29,122,-38,30,5
Hangzhou Spark,7,7,9,2,33,31,131,-2,30,6
Guangzhou Charge,5,5,11,-20,19,39,136,55,30,7
Los Angeles Valiant,0,0,16,-45,3,48,147,107,30,8
Shanghai Dragons,23,12,4,21,38,17,124,-19,31,1
Philadelphia Fusion,11,11,5,15,38,23,123,-19,31,2
Seoul Dynasty,11,11,5,15,38,23,122,-33,31,3
Chengdu Hunters,11,9,7,9,34,25,121,-49,31,4
Hangzhou Spark,9,9,7,8,35,27,126,-19,31,5
New York Excelsior,8,8,8,2,31,29,123,-35,31,6
Guangzhou Charge,4,4,12,-24,15,39,140,71,31,7
Los Angeles Valiant,0,0,16,-46,2,48,145,103,31,8
Shanghai Dragons,22,12,4,21,38,17,124,-20,32,1
Seoul Dynasty,13,12,4,17,39,22,120,-37,32,2
Chengdu Hunters,13,11,5,18,38,20,116,-68,32,3
Philadelphia Fusion,10,10,6,14,37,23,126,-15,32,4
Hangzhou Spark,8,8,8,5,33,28,128,-13,32,5
New York Excelsior,7,7,9,-5,27,32,124,-22,32,6
Guangzhou Charge,4,4,12,-24,15,39,140,70,32,7
Los Angeles Valiant,0,0,16,-46,2,48,146,105,32,8
Shanghai Dragons,20,12,4,20,38,18,124,-17,33,1
Chengdu Hunters,14,11,5,15,38,23,116,-62,33,2
Seoul Dynasty,12,12,4,17,39,22,120,-38,33,3
Philadelphia Fusion,10,10,6,13,37,24,126,-13,33,4
Hangzhou Spark,8,8,8,6,34,28,128,-16,33,5
New York Excelsior,7,7,9,-2,30,32,124,-28,33,6
Guangzhou Charge,4,4,12,-24,16,40,140,71,33,7
Los Angeles Valiant,0,0,16,-45,3,48,146,103,33,8
Shanghai Dragons,19,11,5,14,35,21,125,-9,34,1
Seoul Dynasty,13,12,4,18,38,20,120,-41,34,2
Chengdu Hunters,13,11,5,17,38,21,117,-63,34,3
Philadelphia Fusion,11,11,5,16,38,22,124,-17,34,4
Hangzhou Spark,7,7,9,1,32,31,130,-7,34,5
New York Excelsior,7,7,9,-2,30,32,125,-25,34,6
Guangzhou Charge,5,5,11,-19,20,39,137,57,34,7
Los Angeles Valiant,0,0,16,-45,3,48,146,105,34,8
Shanghai Dragons,19,11,5,18,37,19,126,-16,35,1
Chengdu Hunters,14,11,5,17,38,21,116,-67,35,2
Seoul Dynasty,13,13,3,21,41,20,118,-41,35,3
Philadelphia Fusion,10,10,6,13,36,23,126,-14,35,4
Hangzhou Spark,7,7,9,-1,30,31,130,3,35,5
New York Excelsior,7,7,9,-5,27,32,124,-23,35,6
Guangzhou Charge,5,5,11,-17,19,36,138,54,35,7
Los Angeles Valiant,0,0,16,-46,2,48,146,104,35,8
Shanghai Dragons,23,12,4,22,38,16,122,-29,36,1
