team,rmsa,team dropped
London Spitfire,-56.04,Philadelphia Fusion
Vancouver Titans,-75.92,Philadelphia Fusion
Los Angeles Valiant,-100.0,Philadelphia Fusion
Los Angeles Gladiators,71.37,Seoul Dynasty
Dallas Fuel,62.78,Seoul Dynasty
Shanghai Dragons,58.44,Seoul Dynasty
Chengdu Hunters,56.31,Seoul Dynasty
San Francisco Shock,55.56,Seoul Dynasty
Atlanta Reign,49.53,Seoul Dynasty
Houston Outlaws,39.72,Seoul Dynasty
Philadelphia Fusion,27.37,Seoul Dynasty
Seoul Dynasty,7.55,Seoul Dynasty
Washington Justice,1.74,Seoul Dynasty
New York Excelsior,0.13,Seoul Dynasty
Guangzhou Charge,-0.48,Seoul Dynasty
Hangzhou Spark,-3.42,Seoul Dynasty
Paris Eternal,-3.86,Seoul Dynasty
Boston Uprising,-9.39,Seoul Dynasty
Florida Mayhem,-11.84,Seoul Dynasty
Toronto Defiant,-20.42,Seoul Dynasty
London Spitfire,-56.6,Seoul Dynasty
Vancouver Titans,-73.71,Seoul Dynasty
Los Angeles Valiant,-99.76,Seoul Dynasty
Los Angeles Gladiators,75.18,Shanghai Dragons
Atlanta Reign,65.25,Shanghai Dragons
Dallas Fuel,61.87,Shanghai Dragons
Seoul Dynasty,60.53,Shanghai Dragons
San Francisco Shock,58.87,Shanghai Dragons
Chengdu Hunters,58.8,Shanghai Dragons
Houston Outlaws,44.46,Shanghai Dragons
Philadelphia Fusion,37.56,Shanghai Dragons
Shanghai Dragons,12.81,Shanghai Dragons
New York Excelsior,11.9,Shanghai Dragons
Washington Justice,5.86,Shanghai Dragons
Guangzhou Charge,5.41,Shanghai Dragons
Paris Eternal,1.75,Shanghai Dragons
Boston Uprising,-1.68,Shanghai Dragons
Hangzhou Spark,-5.37,Shanghai Dragons
Florida Mayhem,-7.83,Shanghai Dragons
Toronto Defiant,-13.73,Shanghai Dragons
London Spitfire,-48.63,Shanghai Dragons
Vancouver Titans,-66.73,Shanghai Dragons
Los Angeles Valiant,-100.0,Shanghai Dragons
Los Angeles Gladiators,74.7,Atlanta Reign
Dallas Fuel,68.39,Atlanta Reign
San Francisco Shock,66.15,Atlanta Reign
Shanghai Dragons,60.73,Atlanta Reign
